sep=\
DATE \ DESCRIPTION

October 27, 2025 \ Added a tagging system in the blog, for organization. 
September 6, 2025 \ The <b>music section</b> has opened!
August 25, 2025 \ The <b>blog</b> has opened!
August 17, 2025 \ The gallery has opened! 
July 28, 2025 \ New short story uploaded, please check the CW section!
June 28, 2025 \ Wrote a story after a while.
June 22, 2025 \ Temporarily removed resources. Redesigned the writings page. Rewrote the About and removed Design Philosophy.
June 19, 2025 \ Temporarily removed the projects directory. Added Design Philosophy under About Me! Created a different stylesheet for the pages.
April 16, 2025 \ Created a CSV file for news to streamline the recordkeeping process!
February 15, 2025 \ Opened the fifty-sixth hangstar library, and published a story!
January 23, 2025 \ Webpage redesign (again), and added a resource.

